Workgroup ID,Name,,
611188,10 Pct Emergency Assistance,,
1874569,100 Parish Pastoral Council,,
603049,2018 July-Parish Upd Response,,
583199,2018 Photo Waiver,,
583209,2018 Text Alerts,,
696586,2021 parents,,
625635,Apply@ECC email list,,
737199,Auxiliary staff email list,,
614488,Bell choir email list,,
687702,Business Logistics Email,,
1874453,Default,,
717444,DO NOT CONTACT,,
705888,ECC Liturgy Particption Editor,,
603096,ECC Liturgy Plans editor,,
603098,ECC Liturgy Plans reader,,
650971,ECC Musicians Info editor,,
603093,ECC Sheet Music access,,
607396,ECC Sheet Music access Ldr,,
1874454,Engagement Team,,
1874578,Eucharist to the Sick & Homebound scheduler,,
619259,EYB email list,,
752522,Homebound,,
752537,Homebound & 90 yrs,,
604281,Homebound MP3 Recordings,,
619266,Homebound recipients email lst,,
681736,Linda Retirement Planning,,
737255,Liturgy Planning Ldr,,
604987,Liturgy Transcriptions,,
708465,Livestream Team,,
725706,Livestream Team Ldr,,
471225,LIVING VETERAN,,
631558,Long Range Planning,,
202056,LVG VET US AIR FORCE,,
202057,LVG VET US ARMY,,
202058,LVG VET US MARINES,,
202059,LVG VET US NAVY,,
649409,Maintenance staff email list,,
607866,Musicians email list,,
715687,Name Badges Google Drive acces,,
687700,Obituary Email,,
680283,Office@ECC email list,,
576127,Parish-wide Email,,
627970,Pastoral staff email list,,
604273,PPC Executive Committee,,
621222,Recordings access,,
668768,Registration@ECC email list,,
681276,Renovations@ECC email list,,
627976,Support staff email list,,
756695,Ten Percent Treasurer,,
605030,Transcriptionist,,
618017,Wedding Ministries email list,,
687704,Weekday Mass Email,,
693314,Weekday Mass Email Ldr,,
665960,Weekly Mass - Never,,
665961,Weekly Mass - Rarely,,
665962,Weekly Mass - Sometimes,,
665963,Weekly Mass - Usually,,
693313,Weekly Mass Email Ldr,,
694486,Worship Administration,,
605103,YouthMin parent: Jr high,,
607389,YouthMin parent: Jr high Ldr,,
605105,YouthMin parent: Sr high,,
607392,YouthMin parent: Sr high Ldr,,
